AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Enterprise
AI General AI Application,Home Price Optimization ML,"This system uses machine learning to predict optimal pricing for homes based on various factors like location, amenities, market trends, and historical sales data. The model helps real estate professionals and home sellers set competitive prices, ensuring they maximize profit and attract buyers.",Automotive AI,Auto,Predictive,Numeric,Structured,Unstable,Medium,336,Transportation Equipment Manufacturing,Very-High,1,Enterprise
AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Social Media AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Voice Assistants & Speech AI,ASR + NLP + Bing Integration,"The system combines Automatic Speech Recognition (ASR) to transcribe speech and Natural Language Processing (NLP) to understand the meaning behind it. Additionally, Bings search API is integrated to improve the system's ability to retrieve relevant information from the web, enhancing voice search capabilities for accurate, context-aware responses.",Retail AI,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Education Technology,NLG-based Textbook Generator,This system employs Natural Language Generation (NLG) to automatically generate textbooks or educational materials tailored to different learning styles. The model uses data on learning preferences and knowledge gaps to create content that maximizes student engagement and understanding.,Content AI,Auto,Automation,Text,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,0.2,Department
AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Retail AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,High,0.2,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Voice Assistants & Speech AI,DNN ASR + Rule-based NLP,"Siri Assistant uses a combination of Deep Neural Networks (DNN) for Automatic Speech Recognition (ASR) and rule-based natural language processing (NLP) to understand and process voice commands. The system interprets user queries and provides relevant responses, continually improving through machine learning algorithms.",Retail AI,Auto,Assistive,Audio,Unstructured,Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Recommendation & Personalization,Learning Recommender System,"This model applies machine learning to recommend personalized learning resources based on student preferences and learning behavior. By analyzing past interactions and performance, it suggests resources that match the learners pace and style, optimizing the learning experience.",Retail AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,44,Retail Trade,High,1,Department
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Recruitment & HR,ML Resume Classifier,"The iTutorGroup hiring algorithm uses machine learning for resume classification. The model is trained to screen resumes and rank candidates based on skills, experience, and job relevance. However, the algorithm has faced criticism for age discrimination, as it was found to reject older applicants more frequently than younger ones.",HR AI,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Chatbots & Conversational AI,LLM-based Flagging System,"Grok AI uses a large language model (LLM) to analyze employee chat messages and flag potential violations of workplace policies. The system identifies harmful or inappropriate language patterns by processing text data, helping organizations monitor and maintain compliance in digital communications.",Social AI,Indirect,Descriptive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Recommendation & Personalization,Deep Audio Embedding + CF,"This model uses deep learning techniques to create audio embeddings, capturing unique audio features, combined with Collaborative Filtering (CF) for personalized recommendations. By learning from user preferences and past listening history, the system suggests relevant music, podcasts, or audio content, widely used in music streaming and podcast services.",Retail AI,Auto,Assistive,Audio+Numeric,Structured,Stable,High,44,Retail Trade,High,52.5,Proof of Concept
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Proof of Concept
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Multi-site-National
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Assistants,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",Consumer AI,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Retail Trade,High,50,Proof of Concept
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Auto,Assistive,Image,Unstructured,Unstable,Medium,54,Retail Trade,High,100,Proof of Concept
AI Data Annotation & Labeling,CNN + Relevance Ranking,"Googles image search algorithm uses CNNs for image recognition and relevance ranking for accurate search results. The model ranks images based on relevance to the search query, though it has faced criticism for biases in labeling and search results. The model is continually refined to reduce bias in image classifications.",Enterprise AI,Auto,Assistive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",High,250,Department
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Energy Management,Predictive Analytics Platform,"This AI platform employs predictive analytics to optimize operational efficiencies within the energy sector. It analyzes historical performance data and environmental conditions to predict energy consumption patterns, aiding in better resource allocation and cost management.",Energy AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,22,Utilities,Moderate,1,Department
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Data Annotation & Labeling,CNN + Relevance Ranking,"Googles image search algorithm uses CNNs for image recognition and relevance ranking for accurate search results. The model ranks images based on relevance to the search query, though it has faced criticism for biases in labeling and search results. The model is continually refined to reduce bias in image classifications.",Enterprise AI,Auto,Assistive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",High,250,Proof of Concept
AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Social Media AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Consumer AI,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,54,Retail Trade,High,1.2,Enterprise
AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Consumer AI,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,54,Retail Trade,High,1.2,Enterprise
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Enterprise
AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI News & Media,Topic Spike Detection,"Facebooks trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Consumer AI,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,54,Retail Trade,High,1.2,Enterprise
AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Social Media AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI General AI Application,Home Price Optimization ML,"This system uses machine learning to predict optimal pricing for homes based on various factors like location, amenities, market trends, and historical sales data. The model helps real estate professionals and home sellers set competitive prices, ensuring they maximize profit and attract buyers.",Automotive AI,Auto,Predictive,Numeric,Structured,Unstable,Medium,336,Transportation Equipment Manufacturing,Very-High,1,Enterprise
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Manufacturing & Quality Control,Defect Detection + Process Optimization ML,"This model uses machine learning to detect defects and optimize manufacturing processes. By analyzing sensor data and product images, the system identifies defects early in production and adjusts the process to minimize waste, ensuring the production of high-quality goods. This is vital for industries where precision and quality are critical, such as aerospace or automotive manufacturing.",Manufacturing AI,Indirect,Automation,Image+Numeric,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,101,Enterprise
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Auto,Assistive,Image,Unstructured,Unstable,Medium,54,Retail Trade,High,100,Proof of Concept
AI Energy Management,Virtual Power Plant Control ML,"This model uses machine learning to manage and control distributed energy resources in a virtual power plant. It optimizes energy distribution by analyzing data from smart devices, ensuring efficient use of energy resources across the grid. This improves energy efficiency and contributes to sustainability goals.",Energy AI,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Security & Surveillance,CNN Face Embedding + Search,"Clearview AI utilizes Convolutional Neural Networks (CNNs) to generate face embeddings and perform facial recognition on images. The model compares facial features against a large database of public images, enabling identification and verification in security and law enforcement applications.",Security AI,Direct,Assistive,Image,Unstructured,Unstable,High,56,Administrative and Support and Waste Management and Remediation Services,Very-High,250,Proof of Concept
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Autonomous Vehicles & Mobility,HydraNet CNN,"Tesla's Autopilot uses HydraNet CNN, a deep convolutional neural network designed for autonomous driving. It integrates image recognition, object detection, and decision-making algorithms to drive safely and autonomously in various traffic conditions.",Automotive AI,Direct,Assistive,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,250,Proof of Concept
AI Legal Tech,Weighted Questionnaire Scoring,"The COMPAS recidivism algorithm uses a weighted questionnaire scoring system to predict the likelihood of a criminal reoffending. The model analyzes past criminal history, demographic data, and social factors to assess the risk of recidivism. However, the algorithm has been criticized for racial bias and lack of transparency in its scoring methodology.",Finance AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Low,52,Finance and Insurance,High,0.5,Proof of Concept
AI Assistants,Intent Detection + Human-in-Loop,"This system uses Natural Language Processing (NLP) for intent detection, identifying the user's goal behind a query. The model is supplemented with human-in-the-loop processes, where human feedback continuously refines and improves the model's accuracy in understanding and responding to user input, particularly in ambiguous or complex situations.",Consumer AI,Direct,Assistive,Text,Unstructured,Stable,Medium,54,Retail Trade,High,0.2,Proof of Concept
AI News & Media,Topic Spike Detection,"Facebooks trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Retail AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,High,0.2,Proof of Concept
AI Healthcare,Embedded Diagnostic ML,"Forward uses an embedded diagnostic machine learning model to analyze real-time patient data from health pods. The system provides immediate diagnostics, suggesting potential health issues and offering personalized recommendations based on the data gathered during a patient's self-assessment.",Healthcare AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Auto,Assistive,Image,Unstructured,Unstable,Medium,54,Retail Trade,High,100,Enterprise
AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Enterprise AI,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,100,Proof of Concept
AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Enterprise AI,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,100,Enterprise
AI News & Media,Topic Spike Detection,"Facebooks trending algorithm uses topic spike detection techniques to identify emerging news and viral topics on the platform. The system monitors millions of posts and conversations, detecting unusual spikes in discussions about specific subjects and elevating them in the trending feed.",Social Media AI,Auto,Automation,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Recommendation & Personalization,Analytics + ML for Personalization,"This system uses analytics and machine learning to create personalized learning experiences. By analyzing student data, such as learning patterns and preferences, it tailors the curriculum to meet the needs of individual learners, improving educational outcomes.",Retail AI,Indirect,Assistive,Numeric,Structured,Semi-Stable,Medium,44,Retail Trade,High,1,Department
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Recruitment & HR,ML Resume Classifier,"The iTutorGroup hiring algorithm uses machine learning for resume classification. The model is trained to screen resumes and rank candidates based on skills, experience, and job relevance. However, the algorithm has faced criticism for age discrimination, as it was found to reject older applicants more frequently than younger ones.",HR AI,Auto,Predictive,Text,Semi-Structured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
